,question,answers,gpt_answers,acc@1,acc@3,acc@majority,acc@majority_3,metadata_qid,metadata_question,metadata_gold_answer,metadata_prev_model_answer,decomposition_0
0,"{'question': 'What was the father of the last surviving Canadian father of Confederation?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who was the last surviving Canadian father of Confederation?\nIntermediate answer: The last surviving Canadian father of Confederation was Alexander Campbell.\nFollow up: What was the father of Alexander Campbell?\nIntermediate answer: The father of Alexander Campbell was Alexander Campbell Sr.\nFollow up: What was the father of Alexander Campbell Sr.?\nIntermediate answer: The father of Alexander Campbell Sr. was Alexander Campbell Sr.\nFollow up: What was the father of Alexander Campbell Sr.?\nIntermediate answer: The father of'], 'decompsition_steps': [[{'question': 'Who was the last surviving Canadian father of Confederation?', 'answer': 'The last surviving Canadian father of Confederation was Alexander Campbell.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What was the father of Alexander Campbell?', 'answer': 'The father of Alexander Campbell was Alexander Campbell Sr.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What was the father of Alexander Campbell Sr.?', 'answer': 'The father of Alexander Campbell Sr. was Alexander Campbell Sr.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What was the father of Alexander Campbell Sr.?', 'answer': 'The father of', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}]], 'traces_entailments': None}",,[],FALSE,FALSE,FALSE,FALSE,5,What was the father of the last surviving Canadian father of Confederation?,Charles Tupper Sr.,,"
Are follow up questions needed here: Yes.
Follow up: Who was the last surviving Canadian father of Confederation?
Intermediate answer: The last surviving Canadian father of Confederation was Alexander Campbell.
Follow up: What was the father of Alexander Campbell?
Intermediate answer: The father of Alexander Campbell was Alexander Campbell Sr.
Follow up: What was the father of Alexander Campbell Sr.?
Intermediate answer: The father of Alexander Campbell Sr. was Alexander Campbell Sr.
Follow up: What was the father of Alexander Campbell Sr.?
Intermediate answer: The father of"
1,"{'question': 'Who was the first African American mayor of the most populous city in the United States?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the most populous city in the United States?\nIntermediate answer: The most populous city in the United States is New York City.\nFollow up: Who was the first African American mayor of New York City?\nIntermediate answer: The first African American mayor of New York City was David Dinkins.\nFollow up: When was David Dinkins born?\nIntermediate answer: David Dinkins was born on July 10, 1927.\nSo the final answer is: July '], 'decompsition_steps': [[{'question': 'What is the most populous city in the United States?', 'answer': 'The most populous city in the United States is New York City.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who was the first African American mayor of New York City?', 'answer': 'The first African American mayor of New York City was David Dinkins.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When was David Dinkins born?', 'answer': 'David Dinkins was born on July 10, 1927.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'July '}]], 'traces_entailments': None}",,['July '],0,0,0,0,6,Who was the first African American mayor of the most populous city in the United States?,David Dinkins,,"
Are follow up questions needed here: Yes.
Follow up: What is the most populous city in the United States?
Intermediate answer: The most populous city in the United States is New York City.
Follow up: Who was the first African American mayor of New York City?
Intermediate answer: The first African American mayor of New York City was David Dinkins.
Follow up: When was David Dinkins born?
Intermediate answer: David Dinkins was born on July 10, 1927.
So the final answer is: July "
2,"{'question': 'What is the capital of the second largest state in the US by area?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the second largest state in the US by area?\nIntermediate answer: The second largest state in the US by area is Alaska.\nFollow up: What is the capital of Alaska?\nIntermediate answer: The capital of Alaska is Juneau.\nSo the final answer is: Juneau.\n'], 'decompsition_steps': [[{'question': 'What is the second largest state in the US by area?', 'answer': 'The second largest state in the US by area is Alaska.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is the capital of Alaska?', 'answer': 'The capital of Alaska is Juneau.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Juneau.'}]], 'traces_entailments': None}",,['Juneau'],0,0,0,0,7,What is the capital of the second largest state in the US by area?,Austin,,"
Are follow up questions needed here: Yes.
Follow up: What is the second largest state in the US by area?
Intermediate answer: The second largest state in the US by area is Alaska.
Follow up: What is the capital of Alaska?
Intermediate answer: The capital of Alaska is Juneau.
So the final answer is: Juneau.
"
3,"{'question': 'In what year did work begin on the second longest road tunnel in the world?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the second longest road tunnel in the world?\nIntermediate answer: The second longest road tunnel in the world is the Lærdal Tunnel.\nFollow up: When did work begin on the Lærdal Tunnel?\nIntermediate answer: Work began on the Lærdal Tunnel in 1995.\nSo the final answer is: 1995.\n'], 'decompsition_steps': [[{'question': 'What is the second longest road tunnel in the world?', 'answer': 'The second longest road tunnel in the world is the Lærdal Tunnel.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When did work begin on the Lærdal Tunnel?', 'answer': 'Work began on the Lærdal Tunnel in 1995.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1995.'}]], 'traces_entailments': None}",,['1995'],0,0,0,0,8,In what year did work begin on the second longest road tunnel in the world?,1992,,"
Are follow up questions needed here: Yes.
Follow up: What is the second longest road tunnel in the world?
Intermediate answer: The second longest road tunnel in the world is the Lærdal Tunnel.
Follow up: When did work begin on the Lærdal Tunnel?
Intermediate answer: Work began on the Lærdal Tunnel in 1995.
So the final answer is: 1995.
"
4,"{'question': 'Who is the father of the father of observational astronomy?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who is the father of observational astronomy?\nIntermediate answer: The father of observational astronomy is Galileo Galilei.\nFollow up: Who is the father of Galileo Galilei?\nIntermediate answer: The father of Galileo Galilei is Vincenzo Galilei.\nSo the final answer is: Vincenzo Galilei.\n'], 'decompsition_steps': [[{'question': 'Who is the father of observational astronomy?', 'answer': 'The father of observational astronomy is Galileo Galilei.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who is the father of Galileo Galilei?', 'answer': 'The father of Galileo Galilei is Vincenzo Galilei.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Vincenzo Galilei.'}]], 'traces_entailments': None}",,['Vincenzo Galilei'],1,1,1,1,9,Who is the father of the father of observational astronomy?,Vincenzo Galilei,,"
Are follow up questions needed here: Yes.
Follow up: Who is the father of observational astronomy?
Intermediate answer: The father of observational astronomy is Galileo Galilei.
Follow up: Who is the father of Galileo Galilei?
Intermediate answer: The father of Galileo Galilei is Vincenzo Galilei.
So the final answer is: Vincenzo Galilei.
"
5,"{'question': 'Who was the father of the father of psychoanalysis?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who was the father of psychoanalysis?\nIntermediate answer: The father of psychoanalysis was Sigmund Freud.\nFollow up: Who was the father of Sigmund Freud?\nIntermediate answer: The father of Sigmund Freud was Jacob Freud.\nSo the final answer is: Jacob Freud.\n'], 'decompsition_steps': [[{'question': 'Who was the father of psychoanalysis?', 'answer': 'The father of psychoanalysis was Sigmund Freud.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'Who was the father of Sigmund Freud?', 'answer': 'The father of Sigmund Freud was Jacob Freud.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Jacob Freud.'}]], 'traces_entailments': None}",,['Jacob Freud'],1,1,1,1,10,Who was the father of the father of psychoanalysis?,Jacob Freud,,"
Are follow up questions needed here: Yes.
Follow up: Who was the father of psychoanalysis?
Intermediate answer: The father of psychoanalysis was Sigmund Freud.
Follow up: Who was the father of Sigmund Freud?
Intermediate answer: The father of Sigmund Freud was Jacob Freud.
So the final answer is: Jacob Freud.
"
6,"{'question': 'How many people died in the second most powerful earthquake ever recorded?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What was the second most powerful earthquake ever recorded?\nIntermediate answer: The second most powerful earthquake ever recorded was the 1960 Valdivia earthquake.\nFollow up: How many people died in the 1960 Valdivia earthquake?\nIntermediate answer: 5,700 people died in the 1960 Valdivia earthquake.\nSo the final answer is: 5,700.\n'], 'decompsition_steps': [[{'question': 'What was the second most powerful earthquake ever recorded?', 'answer': 'The second most powerful earthquake ever recorded was the 1960 Valdivia earthquake.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'How many people died in the 1960 Valdivia earthquake?', 'answer': '5,700 people died in the 1960 Valdivia earthquake.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '5,700.'}]], 'traces_entailments': None}",,"['5,700']",0,0,0,0,11,How many people died in the second most powerful earthquake ever recorded?,131,,"
Are follow up questions needed here: Yes.
Follow up: What was the second most powerful earthquake ever recorded?
Intermediate answer: The second most powerful earthquake ever recorded was the 1960 Valdivia earthquake.
Follow up: How many people died in the 1960 Valdivia earthquake?
Intermediate answer: 5,700 people died in the 1960 Valdivia earthquake.
So the final answer is: 5,700.
"
7,"{'question': 'When did the president who warned about the military industrial complex die?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: Who was the president who warned about the military industrial complex?\nIntermediate answer: The president who warned about the military industrial complex was Dwight D. Eisenhower.\nFollow up: When did Dwight D. Eisenhower die?\nIntermediate answer: Dwight D. Eisenhower died on March 28, 1969.\nSo the final answer is: March 28, 1969.\n'], 'decompsition_steps': [[{'question': 'Who was the president who warned about the military industrial complex?', 'answer': 'The president who warned about the military industrial complex was Dwight D. Eisenhower.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'When did Dwight D. Eisenhower die?', 'answer': 'Dwight D. Eisenhower died on March 28, 1969.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'March 28, 1969.'}]], 'traces_entailments': None}",,"['March 28, 1969']",1,1,1,1,12,When did the president who warned about the military industrial complex die?,"March 28, 1969",,"
Are follow up questions needed here: Yes.
Follow up: Who was the president who warned about the military industrial complex?
Intermediate answer: The president who warned about the military industrial complex was Dwight D. Eisenhower.
Follow up: When did Dwight D. Eisenhower die?
Intermediate answer: Dwight D. Eisenhower died on March 28, 1969.
So the final answer is: March 28, 1969.
"
8,"{'question': ""What's the capital of the state that Washington University in St. Louis is in?"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nAre follow up questions needed here: Yes.\nFollow up: What state is Washington University in St. Louis in?\nIntermediate answer: Washington University in St. Louis is in Missouri.\nFollow up: What's the capital of Missouri?\nIntermediate answer: The capital of Missouri is Jefferson City.\nSo the final answer is: Jefferson City.\n""], 'decompsition_steps': [[{'question': 'What state is Washington University in St. Louis in?', 'answer': 'Washington University in St. Louis is in Missouri.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': ""What's the capital of Missouri?"", 'answer': 'The capital of Missouri is Jefferson City.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Jefferson City.'}]], 'traces_entailments': None}",,['Jefferson City'],1,1,1,1,13,What's the capital of the state that Washington University in St. Louis is in?,Jefferson City,,"
Are follow up questions needed here: Yes.
Follow up: What state is Washington University in St. Louis in?
Intermediate answer: Washington University in St. Louis is in Missouri.
Follow up: What's the capital of Missouri?
Intermediate answer: The capital of Missouri is Jefferson City.
So the final answer is: Jefferson City.
"
9,"{'question': 'What is the third letter of the top level domain of the military?', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nAre follow up questions needed here: Yes.\nFollow up: What is the top level domain of the military?\nIntermediate answer: The top level domain of the military is.mil.\nFollow up: What is the third letter of.mil?\nIntermediate answer: The third letter of.mil is L.\nSo the final answer is: L.\n'], 'decompsition_steps': [[{'question': 'What is the top level domain of the military?', 'answer': 'The top level domain of the military is.mil.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': 'What is the third letter of.mil?', 'answer': 'The third letter of.mil is L.', 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': None}, {'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'L.'}]], 'traces_entailments': None}",,['L'],1,1,1,1,14,What is the third letter of the top level domain of the military?,l,,"
Are follow up questions needed here: Yes.
Follow up: What is the top level domain of the military?
Intermediate answer: The top level domain of the military is.mil.
Follow up: What is the third letter of.mil?
Intermediate answer: The third letter of.mil is L.
So the final answer is: L.
"
